"","SL-12","SL-12 (log)","SL-12 (all)","SL-90","SL-90 (log)","SL-90 (all)"
"bayesglm Bayesian generalized linear model",0.122,0.116,0.07,0.014,0.033,0.018
"earth Multivariate adaptive regression splines",0.165,0.007,0.029,0.085,0.026,0.014
"gam Generalized additive model",0,0,0,0.007,0,0
"gbm Generalized boosted model",0.041,0.142,0.146,0.39,0.134,0.333
"glm Generalized linear model",0.096,0.092,0.001,0.02,0.032,0.001
"glmnet Regularized generalized linear model",0.074,0.14,0.122,0.009,0.055,0.026
"ipredbagg Bagging trees",0.016,0.015,0.062,0.02,0.022,0.094
"nnet Neural network",0.123,0.054,0.102,0.161,0.135,0.145
"polymars Multivariate adaptive polynomial spline regression",0.184,0.114,0.227,0.271,0.423,0.158
"randomForest Random forest",0.1,0.123,0.165,0.017,0.075,0.078
"rpart Recursive partitioning tree",0,0,0,0.001,0.007,0.034
"svm Support vector machine",0.08,0.196,0.074,0.004,0.057,0.099
